"daughter","daughter","granddaughter"
"daughter","sister","daughter"
"daughter","son","grandson"
"daughter","aunt","sister"
"daughter","father","husband"
"daughter","husband","son-in-law"
"daughter","brother","son"
"daughter","mother","wife"
"daughter","uncle","brother"
"daughter","grandfather","father"
"daughter","grandfather","father-in-law"
"daughter","grandmother","mother"
"daughter","grandmother","mother-in-law"
"sister","daughter","niece"
"sister","sister","sister"
"sister","son","nephew"
"sister","aunt","aunt"
"sister","father","father"
"sister","brother","brother"
"sister","mother","mother"
"sister","uncle","uncle"
"sister","grandfather","grandfather"
"sister","grandmother","grandmother"
"son","daughter","granddaughter"
"son","sister","daughter"
"son","son","grandson"
"son","aunt","sister"
"son","father","husband"
"son","brother","son"
"son","mother","wife"
"son","uncle","brother"
"son","grandfather","father"
"son","wife","daughter-in-law"
"son","grandmother","mother"
"aunt","sister","aunt"
"aunt","father","grandfather"
"aunt","brother","uncle"
"aunt","mother","grandmother"
"father","daughter","sister"
"father","sister","aunt"
"father","son","brother"
"father","father","grandfather"
"father","brother","uncle"
"father","mother","grandmother"
"father","wife","mother"
"husband","daughter","daughter"
"husband","son","son"
"husband","father","father-in-law"
"husband","granddaughter","granddaughter"
"husband","mother","mother-in-law"
"husband","grandson","grandson"
"granddaughter","sister","granddaughter"
"granddaughter","brother","grandson"
"brother","daughter","niece"
"brother","sister","sister"
"brother","son","nephew"
"brother","aunt","aunt"
"brother","father","father"
"brother","brother","brother"
"brother","mother","mother"
"brother","uncle","uncle"
"brother","grandfather","grandfather"
"brother","grandmother","grandmother"
"nephew","sister","niece"
"nephew","brother","nephew"
"mother","daughter","sister"
"mother","sister","aunt"
"mother","son","brother"
"mother","father","grandfather"
"mother","husband","father"
"mother","brother","uncle"
"mother","mother","grandmother"
"mother","father-in-law","grandfather"
"mother","mother-in-law","grandmother"
"uncle","sister","aunt"
"uncle","father","grandfather"
"uncle","brother","uncle"
"uncle","mother","grandmother"
"grandfather","wife","grandmother"
"wife","daughter","daughter"
"wife","son","son"
"wife","father","father-in-law"
"wife","granddaughter","granddaughter"
"wife","mother","mother-in-law"
"wife","grandson","grandson"
"wife","son-in-law","son-in-law"
"wife","father-in-law","father"
"wife","daughter-in-law","daughter-in-law"
"wife","mother-in-law","mother"
"grandmother","husband","grandfather"
"grandson","sister","granddaughter"
"grandson","brother","grandson"
